Sexo y grupos de edad;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30 - 34;195,361;200,337;205,247;210,372;215,366;220,264;225,594;230,854;236,244;241,319;246,273;252,030;257,638;263,933;269,043;273,661;279,507;285,360;291,218;297,081;302,956;307,971;312,984;317,997;323,005;328,017;330,820;333,584;336,301;338,980;341,620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35 - 39;171,351;175,653;179,972;184,442;188,907;193,354;198,120;202,906;207,796;212,531;217,238;222,869;228,350;233,939;239,061;243,926;249,508;254,961;261,138;266,118;270,617;276,421;282,254;288,110;293,992;299,900;304,904;309,921;314,955;319,998;325,059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 - 44;139,359;144,734;150,176;155,729;161,398;167,170;171,754;176,319;180,945;185,494;190,014;195,430;200,745;206,144;211,230;216,150;221,606;226,928;232,367;237,344;242,072;247,566;252,943;259,068;263,989;268,434;274,184;279,974;285,799;291,659;297,555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45 - 49;100,791;105,355;110,067;114,948;120,144;125,571;131,180;136,936;142,845;148,931;155,214;160,460;165,669;170,955;176,079;181,129;186,491;191,770;197,137;202,206;207,124;212,579;217,914;223,376;228,397;233,184;238,713;244,139;250,308;255,312;259,863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50 - 54;58,477;62,405;66,493;70,710;75,260;80,021;84,369;88,901;93,535;98,441;103,605;109,144;114,791;120,559;126,433;132,411;137,372;142,334;147,393;152,337;157,247;162,459;167,628;172,904;177,951;182,890;188,328;193,688;199,193;204,330;209,283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55 - 59;39,337;41,357;43,433;45,573;47,825;50,149;53,061;56,082;59,154;62,443;65,907;69,839;73,920;78,114;82,521;87,101;91,927;96,874;101,954;107,155;112,476;116,962;121,480;126,107;130,667;135,226;140,070;144,904;149,860;154,643;159,358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 - 64;26,749;26,947;27,123;27,314;27,484;27,633;28,663;29,709;30,761;31,842;32,962;35,709;38,594;41,574;44,760;48,110;51,254;54,527;57,904;61,457;65,162;69,070;73,090;77,232;81,490;85,863;89,614;93,408;97,304;101,165;105,042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65 - 69;15,262;15,572;15,888;16,228;16,576;16,925;17,088;17,263;17,431;17,601;17,769;19,201;20,698;22,254;23,888;25,594;27,645;29,802;32,033;34,426;36,948;39,312;41,780;44,331;47,024;49,837;52,809;55,873;59,037;62,295;65,648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70 - 74;6,753;6,928;7,105;7,279;7,452;7,626;7,748;7,860;7,979;8,091;8,201;8,701;9,203;9,712;10,214;10,715;11,580;12,489;13,437;14,439;15,490;16,754;18,090;19,480;20,975;22,556;24,051;25,616;27,242;28,963;30,769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75 - 79;3,864;3,829;3,790;3,741;3,690;3,626;3,559;3,481;3,391;3,295;3,185;3,480;3,787;4,107;4,436;4,776;5,078;5,382;5,693;6,003;6,314;6,842;7,399;7,984;8,604;9,258;10,043;10,875;11,744;12,682;13,678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80 y más ;1,293;1,327;1,360;1,391;1,422;1,452;1,477;1,502;1,521;1,542;1,561;1,765;1,983;2,214;2,461;2,722;2,998;3,289;3,598;3,924;4,266;4,602;4,953;5,321;5,703;6,098;6,584;7,094;7,632;8,196;8,789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
